[2024-11-25 10:38:02] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-11-25 10:38:02] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-11-25 10:38:02] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-11-25 10:38:03] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-11-25 10:38:03] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-11-25 10:38:03] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-11-25 10:38:05] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\vp001/wp-content/uploads\simply-static\temp-files/simply-static-1-1732531082\
[2024-11-25 10:38:05] [class-ss-setup-task.php:72] Adding origin URL to queue: https://localhost/vp001/
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/notes.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/notes.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/sticky.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/preview-rtl.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/preview-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/preview.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/preview.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-call-to-action-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-call-to-action.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-flip-box-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-flip-box.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-mega-menu-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-mega-menu.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-nav-menu-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-nav-menu.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-slides-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-slides.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-testimonial-carousel-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-testimonial-carousel.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-video-playlist-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-video-playlist.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-cart-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-cart.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-checkout-page-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-checkout-page.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-menu-cart-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-menu-cart.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-my-account-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-my-account.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-product-add-to-cart-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-product-add-to-cart.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-products-archive-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-products-archive.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-purchase-summary-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-woocommerce-purchase-summary.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-_loop-grid-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/templates/widget-_loop-grid.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-animated-headline.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-author-box-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-author-box.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-blockquote-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-blockquote.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-breadcrumbs-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-breadcrumbs.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-code-highlight-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-code-highlight.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-countdown-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-flip-box-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-flip-box.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-form-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-gallery-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-gallery.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-hotspot-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-hotspot.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-login-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-login.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-loop-builder.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-loop-filter-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-loop-filter.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-lottie-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-lottie.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-media-carousel-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-media-carousel.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-nested-carousel-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-nested-carousel.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-off-canvas.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-post-info-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-post-info.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-post-navigation-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-post-navigation.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-posts-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-posts.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-price-list-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-price-list.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-price-table-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-price-table.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-progress-tracker-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-progress-tracker.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-reviews-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-reviews.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-search-form-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-search-form.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-search-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-search.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-share-buttons.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-sitemap-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-sitemap.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-slides-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-social-rtl.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-social.min.css
[2024-11-25 10:38:15] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-table-of-contents.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-testimonial-carousel-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-testimonial-carousel.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-video-playlist.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-cart-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-cart.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-categories-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-categories.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-checkout-page-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-checkout-page.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-menu-cart-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-menu-cart.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-my-account-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-my-account.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-notices-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-notices.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-add-to-cart-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-add-to-cart.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-additional-information-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-additional-information.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-data-tabs-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-data-tabs.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-images-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-images.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-meta-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-meta.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-price-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-price.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-rating-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-product-rating.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-products-archive-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-products-archive.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-products-rtl.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-products.min.css
[2024-11-25 10:38:16] [class-elementor-pro-integration.php:66] Adding elementor bundle asset to queue: https://localhost/vp001/wp-content/plugins/elementor-pro/assets/css/widget-woocommerce-purchase-summary-rtl.min.css
